ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000266173"	"STRADA"	chr17	-	63714005	63714108	63726637	63726695	63713405	63713527	63728333	63728413	0	3,0,3	31,22,23	15,36,155	77,127,331	57	102	0.000101447831285	0.0007608587346375
6	"ENSG00000182473"	"EXOC7"	chr17	-	76090328	76090397	76091142	76091235	76089174	76089320	76094413	76094581	6	5,1,0	16,10,10	11,88,80	11,1,16	92	68	4.27229251976e-10	6.40843877964e-09
7	"ENSG00000007237"	"GAS7"	chr17	-	9969676	9969762	9981803	9981884	9959201	9959255	10019776	10019897	7	11,13,4	0,0,0	22,342,366	0,4,1	80	85	1	1.0
8	"ENSG00000007237"	"GAS7"	chr17	-	9969676	9969762	10019776	10019897	9959201	9959255	10036433	10036747	8	7,0,2	0,0,0	64,1003,1185	0,0,2	120	85	1	1.0
9	"ENSG00000007237"	"GAS7"	chr17	-	9981803	9981884	10019776	10019897	9959201	9959255	10036433	10036662	9	7,0,2	0,0,0	64,1003,1185	0,0,1	120	80	1	1.0
10	"ENSG00000007237"	"GAS7"	chr17	-	9981803	9981884	10019776	10019897	9969676	9969762	10036433	10036747	10	7,0,2	0,0,0	64,1007,1185	0,0,4	120	80	1	1.0
11	"ENSG00000062716"	"VMP1"	chr17	+	59735337	59735473	59737452	59737543	59731420	59731522	59738836	59738947	11	0,0,0	16,27,26	3,5,2	163,270,175	135	90	1	1.0
12	"ENSG00000062716"	"VMP1"	chr17	+	59735337	59735473	59738836	59738947	59731420	59731522	59764970	59765138	12	0,0,0	24,17,31	6,0,0	189,342,185	135	110	1	1.0
13	"ENSG00000062716"	"VMP1"	chr17	+	59737452	59737543	59738836	59738947	59731420	59731522	59764970	59765111	13	0,0,0	24,17,31	2,1,6	189,342,185	90	110	0.702726153054	1.0
14	"ENSG00000062716"	"VMP1"	chr17	+	59738836	59738947	59764970	59765138	59737452	59737543	59773753	59773881	14	17,28,29	5,16,13	176,310,181	75,85,26	110	167	0.0898473590166	0.449236795083
15	"ENSG00000087157"	"PGS1"	chr17	+	78392475	78392665	78396307	78396385	78378648	78378808	78398251	78398351	15	8,10,7	0,0,0	44,47,166	1,0,1	189	77	1	1.0
16	"ENSG00000167699"	"GLOD4"	chr17	-	778621	778661	778694	778744	776867	776988	780683	780738	16	17,6,8	0,0,1	38,306,216	2,2,0	49	39	1	1.0
17	"ENSG00000132530"	"XAF1"	chr17	+	6758088	6758224	6760405	6760601	6755447	6756110	6762154	6762240	17	30,23,12	9,9,0	14,100,255	2,19,31	135	195	0.206430722768	0.77411521038
18	"ENSG00000132530"	"XAF1"	chr17	+	6758861	6758959	6759255	6759519	6758088	6758224	6759661	6759718	18	0,0,0	1,0,0	0,0,1	0,0,7	97	263	1	1.0
22	"ENSG00000108654"	"DDX5"	chr17	-	64500548	64500773	64502009	64502069	64498253	64500326	64502161	64502223	22	273,290,259	968,847,718	398,1182,988	1444,4283,2409	59	224	0.770861346779	1.0
