ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000169727"	"GPS1"	chr17	+	82052255	82052459	82052255	82052442	82053273	82053366
1	"ENSG00000169727"	"GPS1"	chr17	+	82056628	82056772	82056628	82056766	82056839	82056974
2	"ENSG00000175866"	"BAIAP2"	chr17	+	81053667	81053743	81053667	81053739	81057880	81057967
3	"ENSG00000175866"	"BAIAP2"	chr17	+	81053667	81053791	81053667	81053739	81057880	81057967
4	"ENSG00000175866"	"BAIAP2"	chr17	+	81053667	81053791	81053667	81053743	81057880	81057967
5	"ENSG00000175866"	"BAIAP2"	chr17	+	81085653	81085725	81085653	81085715	81086442	81086580
6	"ENSG00000167699"	"GLOD4"	chr17	-	778621	778744	778694	778744	776867	776988
7	"ENSG00000108788"	"MLX"	chr17	+	42567071	42567328	42567071	42567166	42567618	42567655
8	"ENSG00000266173"	"STRADA"	chr17	-	63704340	63704582	63704431	63704582	63704004	63704047
9	"ENSG00000266173"	"STRADA"	chr17	-	63713405	63713527	63713459	63713527	63710727	63710836
10	"ENSG00000266173"	"STRADA"	chr17	-	63728333	63728413	63728357	63728413	63714005	63714108
11	"ENSG00000266173"	"STRADA"	chr17	-	63728333	63728413	63728357	63728413	63726637	63726695
12	"ENSG00000266173"	"STRADA"	chr17	-	63741453	63741796	63741740	63741796	63728333	63728413
